"NAME","sch_id","FIPS","LAT","LON","TYPE"
"AVERY COUNTY HIGH","370030000081",37011,36.067608,-81.919724,"Public"
"AVERY MIDDLE","370030000085",37011,36.067352,-81.91638,"Public"
"BANNER ELK ELEMENTARY","370030000082",37011,36.148912,-81.857786,"Public"
"BLUE RIDGE HIGH SCHOOL","370030003294",37011,36.067639,-81.916107,"Public"
"CRANBERRY MIDDLE","370030001723",37011,36.146328,-81.963873,"Public"
"CROSSNORE ELEMENTARY","370030000084",37011,36.025771,-81.925502,"Public"
"FREEDOM TRAIL ELEMENTARY","370030001760",37011,36.146003,-81.963616,"Public"
"MAYLAND EARLY COLLEGE","370300003137",37011,35.9344,-82.01683,"Public"
"NEWLAND ELEMENTARY","370030000088",37011,36.081949,-81.922679,"Public"
"RIVERSIDE ELEMENTARY","370030000089",37011,35.989946,-82.019576,"Public"
"GRANDFATHER ACADEMY","370001602068",37011,36.152088,-81.878861,"Charter"
"MARJORIE WILLIAMS ACADEMY","370007702427",37011,36.0213,-81.9297,"Charter"
"BETHEL CHRISTIAN ACADEMY","A1302160",37011,35.935473,-82.008039,"Private"
"RAINBOW CHRISTIAN ACADEMY","A9104081",37011,36.14315,-81.94588,"Private"
