"NAME","sch_id","FIPS","LAT","LON","TYPE"
"ABSS EARLY COLLEGE AT ACC","370003002972",37001,36.0665,-79.3577,"Public"
"ALEXANDER WILSON ELEMENTARY","370003000001",37001,36.0297,-79.3467,"Public"
"ALTAMAHAW-OSSIPEE ELEMENTARY","370003000002",37001,36.1796,-79.5105,"Public"
"AUDREY W. GARRETT ELEMENTARY","370003002501",37001,36.0616,-79.2974,"Public"
"B. EVERETT JORDAN ELEMENTARY","370003000003",37001,35.9398,-79.3268,"Public"
"BROADVIEW MIDDLE","370003000196",37001,36.0875,-79.397,"Public"
"CAREER AND TECHNICAL EDUCATION CENTER","370003003171",37001,36.09268,-79.384291,"Public"
"E M YODER ELEMENTARY","370003000005",37001,36.1005,-79.2744,"Public"
"EASTERN ALAMANCE HIGH","370003000006",37001,36.1136,-79.3022,"Public"
"EASTLAWN ELEMENTARY","370003000197",37001,36.1018,-79.4071,"Public"
"EDWIN M HOLT ELEMENTARY","370003000007",37001,36.0213,-79.4889,"Public"
"ELON ELEMENTARY","370003000008",37001,36.118112,-79.497269,"Public"
"GRAHAM HIGH","370003000009",37001,36.0755,-79.382,"Public"
"GRAHAM MIDDLE","370003000010",37001,36.0664,-79.3956,"Public"
"GROVE PARK ELEMENTARY","370003000199",37001,36.0801,-79.4608,"Public"
"HARVEY R NEWLIN ELEMENTARY","370003000200",37001,36.0734,-79.4206,"Public"
"HAW RIVER ELEMENTARY","370003000011",37001,36.0932,-79.3579,"Public"
"HAWFIELDS MIDDLE","370003002566",37001,36.0615,-79.2972,"Public"
"HIGHLAND ELEMENTARY","370003002838",37001,36.05866,-79.517811,"Public"
"HILLCREST ELEMENTARY","370003000201",37001,36.103,-79.4646,"Public"
"HUGH M CUMMINGS HIGH","370003000202",37001,36.0887,-79.3964,"Public"
"MARVIN B SMITH ELEMENTARY","370003000203",37001,36.0772,-79.4788,"Public"
"NORTH GRAHAM ELEMENTARY","370003000012",37001,36.0763,-79.3777,"Public"
"PLEASANT GROVE ELEMENTARY","370003000013",37001,36.2173,-79.3067,"Public"
"R HOMER ANDREWS ELEMENTARY","370003000204",37001,36.0946,-79.3834,"Public"
"RAY STREET ACADEMY","370003002153",37001,36.061617,-79.394989,"Public"
"SOUTH GRAHAM ELEMENTARY","370003000014",37001,36.0523,-79.3934,"Public"
"SOUTH MEBANE ELEMENTARY","370003000015",37001,36.089,-79.2753,"Public"
"SOUTHERN ALAMANCE HIGH","370003000016",37001,36.0022,-79.4069,"Public"
"SOUTHERN ALAMANCE MIDDLE","370003000017",37001,36.0043,-79.4089,"Public"
"SYLVAN ELEMENTARY","370003000018",37001,35.88,-79.4366,"Public"
"TURRENTINE MIDDLE","370003000206",37001,36.091286,-79.463051,"Public"
"WALTER M WILLIAMS HIGH","370003000207",37001,36.0881,-79.4537,"Public"
"WESTERN ALAMANCE HIGH","370003000019",37001,36.153,-79.4986,"Public"
"WESTERN ALAMANCE MIDDLE","370003000020",37001,36.1622,-79.5029,"Public"
"WOODLAWN MIDDLE","370003000021",37001,36.1152,-79.3041,"Public"
"ALAMANCE COMMUNITY SCHOOL","370046703528",37001,36.07369,-79.275523,"Charter"
"CLOVER GARDEN","370011602565",37001,36.187,-79.4711,"Charter"
"RIVER MILL ACADEMY","370005002366",37001,36.043786,-79.393412,"Charter"
"THE HAWBRIDGE SCHOOL","370013202703",37001,35.9466,-79.319,"Charter"
"BLESSED SACRAMENT SCHOOL","01010539",37001,36.094214,-79.445724,"Private"
"THE BURLINGTON SCHOOL","01011601",37001,36.101986,-79.466932,"Private"
"ALAMANCE CHRISTIAN SCHOOL","01012999",37001,36.074414,-79.3724,"Private"
"BURLINGTON CHRISTIAN ACADEMY","01914556",37001,36.082791,-79.439795,"Private"
"BRADFORD ACADEMY","A1101754",37001,36.084078,-79.27748,"Private"
"EMMA LEE BROADY ACADEMY","A1903299",37001,35.96144,-79.321041,"Private"
"GRACE CHRISTIAN ACADEMY","A1903311",37001,36.10134,-79.351611,"Private"
"POSITIVE DAY SCHOOL","A1903361",37001,36.09932,-79.405391,"Private"
"BIBLE WESLEYAN CHRISTIAN SCHOOL","A9103943",37001,35.950658,-79.371982,"Private"
