"logrecno","hh_age","hh_ethnicity","hh_income","hh_race","hh_size","serialno","puma_geoid","bg_geoid","lon_4326","lat_4326","hh_id","county_fips"
5851,0,0,0,0,0,"2016001169360",3704400,370139303001,-77.0615493161368,35.5538409966133,370000116222,"37013"
5854,0,0,0,0,1,"2019HU1030856",3704400,370139304001,-77.0444741022532,35.5783144228781,370000119494,"37013"
5854,0,0,0,1,0,"2015001175854",3704400,370139304001,-77.0505494736562,35.557029045915,370000119495,"37013"
5854,0,0,0,1,1,"2019HU1208952",3704400,370139304001,-77.0474273552276,35.5591689718455,370000119496,"37013"
5842,0,0,1,0,0,"2016001009061",3704400,370139301001,-76.6485387603738,35.6878193568503,370000111574,"37013"
5851,0,0,1,0,0,"2016001009061",3704400,370139303001,-77.0830206061466,35.5618268652052,370000116223,"37013"
5860,0,0,1,0,1,"2018HU0218298",3704400,370139305013,-76.9800072832326,35.4956874002426,370000121404,"37013"
5842,0,0,2,0,0,"2018HU0921760",3704400,370139301001,-76.7707509869031,35.6942955282952,370000111575,"37013"
5851,0,0,2,0,0,"2018HU0921760",3704400,370139303001,-77.0676646297263,35.5548148370573,370000116224,"37013"
5862,0,0,2,0,0,"2018HU0921760",3704400,370139305022,-76.9844494780703,35.5344442149685,370000121965,"37013"
5862,0,0,2,0,1,"2016000130100",3704400,370139305022,-76.9854985402336,35.5348811278494,370000121966,"37013"
5854,0,0,2,0,3,"2015000090667",3704400,370139304001,-77.0577721088589,35.5624556350726,370000119497,"37013"
5853,0,0,2,1,0,"2015000953099",3704400,370139303003,-77.0414950361969,35.5374478114496,370000117376,"37013"
5851,0,0,2,1,1,"2017000535640",3704400,370139303001,-77.0627283966003,35.5553795868612,370000116225,"37013"
5862,0,0,2,1,1,"2019HU0419664",3704400,370139305022,-76.9760450905588,35.5357136081013,370000121967,"37013"
5851,0,0,3,0,0,"2018HU0990194",3704400,370139303001,-77.0652944659551,35.5561966812012,370000116226,"37013"
5851,0,0,3,0,1,"2015000053198",3704400,370139303001,-77.0769338448275,35.5653514021385,370000116227,"37013"
5862,0,0,3,0,1,"2017000725732",3704400,370139305022,-76.9641785706222,35.5197184211109,370000121968,"37013"
5862,0,0,3,0,2,"2017000395839",3704400,370139305022,-77.0241258403848,35.541828683414,370000121969,"37013"
5851,0,0,3,1,0,"2016000821344",3704400,370139303001,-77.0687622083492,35.5554602002099,370000116228,"37013"
5851,0,0,3,1,1,"2019HU0250045",3704400,370139303001,-77.060523050281,35.5469696034501,370000116229,"37013"
5849,0,0,4,0,0,"2015000607823",3704400,370139302002,-77.1318512938603,35.6609828426876,370000115417,"37013"
5851,0,0,4,0,0,"2017000261965",3704400,370139303001,-77.0686337973395,35.5523104623534,370000116230,"37013"
5862,0,0,4,0,1,"2018HU0731152",3704400,370139305022,-76.9602920479263,35.518049946619,370000121970,"37013"
5862,0,0,4,0,2,"2017001188749",3704400,370139305022,-76.9883858119371,35.5263386101235,370000121971,"37013"
5862,0,0,4,0,3,"2017001049544",3704400,370139305022,-77.025207322096,35.5441065281971,370000121972,"37013"
5862,0,0,4,0,4,"2018HU0227146",3704400,370139305022,-76.9604666598231,35.5198767787065,370000121973,"37013"
5862,0,0,4,1,1,"2015001027468",3704400,370139305022,-77.0250629194185,35.5366637284702,370000121974,"37013"
5862,0,0,4,1,2,"2018HU0596700",3704400,370139305022,-77.0200362728715,35.541850033089,370000121975,"37013"
5854,0,0,4,1,3,"2016000821442",3704400,370139304001,-77.0583801971976,35.5609881772026,370000119498,"37013"
5860,0,0,5,0,0,"2015000682318",3704400,370139305013,-76.9853241981749,35.4977924657361,370000121405,"37013"
5862,0,0,5,0,0,"2019HU1261715",3704400,370139305022,-77.0228114384882,35.5417155040096,370000121976,"37013"
5849,0,0,5,0,1,"2015001063522",3704400,370139302002,-77.1620081870272,35.6602114328588,370000115418,"37013"
5860,0,0,5,0,1,"2015001321077",3704400,370139305013,-76.9598560635376,35.4862166377903,370000121406,"37013"
5862,0,0,5,0,1,"2019HU0719343",3704400,370139305022,-77.0229826958164,35.5419600921641,370000121977,"37013"
5860,0,0,5,0,2,"2019HU0756470",3704400,370139305013,-76.9708413764086,35.4836023598526,370000121407,"37013"
5862,0,0,5,0,2,"2019HU0185713",3704400,370139305022,-76.9821161038082,35.5264393142337,370000121978,"37013"
5849,0,0,5,0,4,"2016001216377",3704400,370139302002,-77.0661911227525,35.629107853415,370000115419,"37013"
5862,0,0,5,1,1,"2018HU0643992",3704400,370139305022,-76.9754821701622,35.5355888536035,370000121979,"37013"
5851,0,0,5,1,3,"2017000329352",3704400,370139303001,-77.0641696743785,35.561057780663,370000116231,"37013"
5862,0,0,5,1,3,"2017000329352",3704400,370139305022,-76.9759655063233,35.5248966087563,370000121980,"37013"
5851,0,0,6,0,0,"2018HU0549592",3704400,370139303001,-77.0657632769207,35.5556442060902,370000116232,"37013"
5860,0,0,6,0,2,"2015001326803",3704400,370139305013,-76.9816934805496,35.4897958061897,370000121408,"37013"
