"logrecno","hh_age","hh_ethnicity","hh_income","hh_race","hh_size","serialno","puma_geoid","bg_geoid","lon_4326","lat_4326","hh_id","county_fips"
5782,0,0,0,0,1,"2017001009339",3700200,370059503001,-81.2311498966267,36.5676909540976,370000083016,"37005"
5782,0,0,1,0,0,"2017001195209",3700200,370059503001,-81.297710859257,36.5449104751605,370000083017,"37005"
5774,0,0,1,0,3,"2019HU0348869",3700200,370059501001,-81.0004725058701,36.534948085086,370000080028,"37005"
5780,0,0,4,0,2,"2016000891940",3700200,370059502003,-81.1103153467069,36.4850897082187,370000081232,"37005"
5783,0,0,4,0,2,"2015000526482",3700200,370059503002,-81.2315193019255,36.5045763281955,370000082485,"37005"
5780,0,0,5,0,0,"2015000682318",3700200,370059502003,-81.1335253230549,36.494157494474,370000081233,"37005"
5781,0,0,5,0,1,"2018HU0467609",3700200,370059502004,-81.1323577090423,36.5045551847107,370000080918,"37005"
5783,0,0,6,0,1,"2018HU0028881",3700200,370059503002,-81.3227253195394,36.5217255958294,370000082486,"37005"
5782,0,0,6,0,3,"2015001121502",3700200,370059503001,-81.2019180347635,36.5700357365043,370000083018,"37005"
5776,0,1,0,0,0,"2015000256148",3700200,370059501003,-81.0744644427488,36.4768826489976,370000079132,"37005"
5780,0,1,0,0,0,"2016000785721",3700200,370059502003,-81.1171175902815,36.4969622730563,370000081234,"37005"
5782,0,1,0,0,0,"2019HU0931460",3700200,370059503001,-81.2921267791292,36.5450586094354,370000083019,"37005"
5775,0,1,0,0,1,"2018HU0000116",3700200,370059501002,-80.9133383546189,36.5536126521212,370000078622,"37005"
5776,0,1,0,0,1,"2016001044070",3700200,370059501003,-81.0803926145657,36.4587687028669,370000079133,"37005"
5778,0,1,0,0,1,"2018HU0576185",3700200,370059502001,-81.1208852339591,36.5117538746039,370000080491,"37005"
5783,0,1,0,0,1,"2015000625020",3700200,370059503002,-81.1673879376324,36.4846147486246,370000082487,"37005"
5782,0,1,0,0,1,"2019HU0143554",3700200,370059503001,-81.2154394878773,36.5681065179715,370000083020,"37005"
5775,0,1,0,0,2,"2019HU0774473",3700200,370059501002,-80.9749742917294,36.476697183247,370000078623,"37005"
5781,0,1,0,0,2,"2019HU0412858",3700200,370059502004,-81.1372718743964,36.5140214049036,370000080919,"37005"
5782,0,1,0,0,3,"2017000992302",3700200,370059503001,-81.3395569743577,36.5717567878526,370000083021,"37005"
5776,0,1,0,0,5,"2018HU0783172",3700200,370059501003,-81.0516364500232,36.4710728999397,370000079134,"37005"
5776,0,1,1,0,0,"2018HU0182787",3700200,370059501003,-81.0545757714105,36.4393437122729,370000079135,"37005"
5774,0,1,1,0,0,"2015000987508",3700200,370059501001,-81.0007938254138,36.5241655700612,370000080029,"37005"
5781,0,1,1,0,0,"2016000084656",3700200,370059502004,-81.1352230738751,36.5050405096405,370000080920,"37005"
5780,0,1,1,0,0,"2018HU0396493",3700200,370059502003,-81.1176830366092,36.4988436883742,370000081235,"37005"
5775,0,1,1,0,1,"2016001355773",3700200,370059501002,-80.9516052446731,36.5069285153299,370000078624,"37005"
5774,0,1,1,0,1,"2018HU0854583",3700200,370059501001,-81.0723963171391,36.5508057139866,370000080030,"37005"
5780,0,1,1,0,1,"2016000912949",3700200,370059502003,-81.1388129949522,36.4918558636264,370000081236,"37005"
5774,0,1,1,0,2,"2019HU1141517",3700200,370059501001,-81.077964388046,36.5548823673017,370000080031,"37005"
5781,0,1,1,0,2,"2015001314327",3700200,370059502004,-81.1363258665373,36.5142149624997,370000080921,"37005"
5779,0,1,1,0,2,"2016000382079",3700200,370059502002,-81.1048427162918,36.4993282700576,370000081697,"37005"
5780,0,1,1,0,3,"2015001243587",3700200,370059502003,-81.1219067389177,36.4890246351771,370000081237,"37005"
