"logrecno","hh_age","hh_ethnicity","hh_income","hh_race","hh_size","serialno","puma_geoid","bg_geoid","lon_4326","lat_4326","hh_id","county_fips"
5901,0,0,0,0,2,"2018HU0634180",3704900,370179501005,-78.4926624817312,34.7561034677009,370000140895,"37017"
5904,0,0,0,0,4,"2018HU0010409",3704900,370179503001,-78.6772996026138,34.6591745380756,370000142635,"37017"
5901,0,0,2,0,1,"2015000541105",3704900,370179501005,-78.4652998811112,34.7826675898961,370000140896,"37017"
5904,0,0,3,0,0,"2015000629499",3704900,370179503001,-78.6965391506064,34.6701385206264,370000142636,"37017"
5904,0,0,3,0,1,"2016000787189",3704900,370179503001,-78.7211224949672,34.6937256176579,370000142637,"37017"
5913,0,0,3,0,1,"2018HU0282204",3704900,370179504005,-78.7071809378163,34.6441550643724,370000146459,"37017"
5904,0,0,4,0,0,"2015000607823",3704900,370179503001,-78.7206339273659,34.6690072000808,370000142638,"37017"
5904,0,0,4,0,1,"2019HU0377047",3704900,370179503001,-78.7182534887849,34.6525972578199,370000142639,"37017"
5906,0,0,4,0,2,"2015000526482",3704900,370179503003,-78.7731219309331,34.6196629777734,370000143286,"37017"
5904,0,0,4,0,6,"2018HU0319543",3704900,370179503001,-78.7216189313397,34.6672382561188,370000142640,"37017"
5904,0,0,4,3,0,"2018HU0167019",3704900,370179503001,-78.6958948345646,34.6747890947457,370000142641,"37017"
5904,0,0,5,0,0,"2018HU0907464",3704900,370179503001,-78.6973328756689,34.6809277752437,370000142642,"37017"
5904,0,0,5,0,1,"2015001321077",3704900,370179503001,-78.7034417963489,34.6881182743202,370000142643,"37017"
5904,0,0,5,0,1,"2019HU1116304",3704900,370179503001,-78.7047277136595,34.6890635113411,370000142644,"37017"
5904,0,0,5,0,2,"2016000863810",3704900,370179503001,-78.7043325545462,34.669181384444,370000142645,"37017"
5901,0,0,5,0,3,"2017000679592",3704900,370179501005,-78.4505856201146,34.7678509721693,370000140897,"37017"
5906,0,0,5,0,3,"2018HU0161115",3704900,370179503003,-78.7750400349999,34.6152252389716,370000143287,"37017"
5904,0,0,5,0,4,"2019HU0195765",3704900,370179503001,-78.724784009874,34.6578426574966,370000142646,"37017"
5904,0,0,6,1,1,"2018HU0584990",3704900,370179503001,-78.7248776160324,34.6569408673423,370000142647,"37017"
